field_name,class,window_days,n_gaps,gap_min_s,gap_p10_s,gap_med_s,gap_mean_s,gap_p90_s,gap_max_s,burstiness,notes
F11_cdrlol,DISCRETE,1,0,,,,,,,,no value changes in window
F12_cdrlol,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_cdrenable,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_cdrrate,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_fwversion,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF11_id,STATIC,1,0,,,,,,,,no value changes in window
FF11_los,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_model,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF11_powerfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_present,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_rxpower_0,ANALOG,1,0,,,,,,,,no value changes in window
FF11_rxpower_1,ANALOG,1,0,,,,,,,,no value changes in window
FF11_rxpower_2,ANALOG,1,0,,,,,,,,no value changes in window
FF11_rxpower_3,ANALOG,1,6491,5.0,5.0,5.0,13.308,30.0,135.0,6.0,
FF11_serial,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF11_status,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_tempC,ANALOG,1,3232,5.0,5.0,10.0,26.708,45.0,4275.0,4.5,
FF11_tempfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_txdisable,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_txfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF11_uptime,COUNTER,1,11,7200.0,7200.0,7205.0,7203.636,7205.0,7205.0,1.0,
FF11_voltfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_cdrenable,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_cdrrate,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_fwversion,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF12_id,STATIC,1,0,,,,,,,,no value changes in window
FF12_los,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_model,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF12_powerfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_present,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_rxpower_0,ANALOG,1,10643,5.0,5.0,5.0,8.117,15.0,130.0,3.0,
FF12_rxpower_1,ANALOG,1,11691,5.0,5.0,5.0,7.389,15.0,50.0,3.0,
FF12_rxpower_2,ANALOG,1,12926,5.0,5.0,5.0,6.683,10.0,45.0,2.0,
FF12_rxpower_3,ANALOG,1,14681,5.0,5.0,5.0,5.884,10.0,35.0,2.0,
FF12_serial,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF12_status,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_tempC,ANALOG,1,1205,5.0,5.0,10.0,70.697,110.0,7640.0,11.0,
FF12_tempfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_txdisable,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_txfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF12_uptime,COUNTER,1,11,7205.0,7205.0,7205.0,7205.909,7210.0,7210.0,1.0,
