field_name,opcua_identifier,namespace,class,canary,t_change_alarm_sec,notes
Hwid,SRTM.Hwid,2,STATIC,N,,board identity string
Fwvers,SRTM.Fwvers,2,STATIC,N,,board identity string
Swvers,SRTM.Swvers,2,STATIC,N,,board identity string
SRTM_v00,SRTM.SRTM_v00,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v01,SRTM.SRTM_v01,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v02,SRTM.SRTM_v02,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v03,SRTM.SRTM_v03,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v04,SRTM.SRTM_v04,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v05,SRTM.SRTM_v05,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v06,SRTM.SRTM_v06,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_v07,SRTM.SRTM_v07,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c00,SRTM.SRTM_c00,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c01,SRTM.SRTM_c01,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c02,SRTM.SRTM_c02,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c03,SRTM.SRTM_c03,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c04,SRTM.SRTM_c04,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c05,SRTM.SRTM_c05,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c06,SRTM.SRTM_c06,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_c07,SRTM.SRTM_c07,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t00,SRTM.SRTM_t00,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t01,SRTM.SRTM_t01,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t02,SRTM.SRTM_t02,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t03,SRTM.SRTM_t03,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t04,SRTM.SRTM_t04,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t05,SRTM.SRTM_t05,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t06,SRTM.SRTM_t06,2,ANALOG,N,120,continuous sensor; should jitter
SRTM_t07,SRTM.SRTM_t07,2,ANALOG,N,120,continuous sensor; should jitter
FF11_present,SRTM.FF11_present,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_status,SRTM.FF11_status,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_txdisable,SRTM.FF11_txdisable,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_cdrenable,SRTM.FF11_cdrenable,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_cdrrate,SRTM.FF11_cdrrate,2,DISCRETE,N,,flag/bitfield; flat is normal
F11_cdrlol,SRTM.FF11_cdrlol,2,DISCRETE,N,,flag/bitfield; flat is normal | NAME/IDENT MISMATCH in upstream conf
FF11_los,SRTM.FF11_los,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_txfault,SRTM.FF11_txfault,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_tempfault,SRTM.FF11_tempfault,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_voltfault,SRTM.FF11_voltfault,2,DISCRETE,N,,flag/bitfield; flat is normal
FF11_powerfault,SRTM.FF11_powerfault,2,DISCRETE,N,,flag/bitfield; flat is normal
